StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District
v6nt,Arabian Knights,Indian,4.4,137,hong kong,"G/F, 58 Tung Lo Wan Road, Tai Hang,",Tai Hang
xhd5,Himi Japanese Cuisine (Kennedy Town),International,3.1,154,hong kong,"Shop E, G/F., Shun Cheong Building, No. 28 Hau Wo Street, Kennedy Town, Hong Kong,",Kennedy Town
td74,Chong Qing Mala Tong,Sichuan,4.8,26,hong kong,"G/F, Agatha House, 19 Ning Po Street, Yau Ma Tei,",Yau Ma Tei
otuy,My Kitchen,Indian,4.9,177,hong kong,"G/F, 2H Saigon Street, Jordan,",Jordan
x5ay,Blue Pho,Pho,4.7,705,hong kong,"Shop FC6B, 2/F, Chi Fu Landmark, 9 Chi Fu Road, Pok Fu Lam,",Pok Fu Lam
yvfy,Slow House,Western,4.9,256,hong kong,"28-32 Davis Street, Kennedy Street, Sai Wan,",Sai Wan
n5pd,Kai Kai,HK Dessert,5.0,1552,hong kong,"G/F, 29 Ning Po Street, Jordan,",Jordan
s9yo,Curry Leaf (Jordan),Indian,4.9,367,hong kong,"G/F and M/F, Mau Lam Commercial Building, 16-18 Mau Lam Street, Jordan,",Jordan
ql1t,Chulo Nepalese Home Cooking,Southeast Asian,4.9,172,hong kong,"G/F, 171 Shanghai Street, Jordan,",Jordan
v2zz,Mint Leaf Indian Restaurant,Indian,3.6,86,hong kong,"G/F, 58 Tung Lo Wan Road, Tai Hang,",Tai Hang
xwe8,Proof,Western,5.0,130,hong kong,"G/F, 14 Tsun Yuen Street, Happy Valley,",Happy Valley
w7yv,Timur,Indian,4.9,717,hong kong,"Shop B1, G/F, Hau Wo Court, 25-33 Hau Wo Street, Kennedy Town,",Kennedy Town
bgup,Matka (Jordan),Curry,4.6,32,hong kong,"G/F & M/F, Mau Lam Commercial Building, 16-18 Mau Lam Street, Yau Ma Tei,",Yau Ma Tei
s4nm,Falafel Hut,Kebab,4.9,711,hong kong,"G/F, Yue On Building, 78-86 Catchick Street, Kennedy Town,",Kennedy Town
v9om,Sichuan BBQ Restaurant,Skewers,4.9,235,hong kong,"SHOPS B, G/F, 27-31 NING PO STREET, JORDAN, TSIM SHA TSUI, KOWLOON,",Jordan
v2qv,Best Restaurant,Chinese,4.5,85,hong kong,"G/F, 177 Shanghai Street, Yau Ma Tei,",Yau Ma Tei
dme3,ENSO,Japanese,3.8,17,hong kong,"Shop 5, G/F, Ka Fu Building, 25 New Praya Kennedy Town, Kennedy Town,",Kennedy Town
w7hw,Man Hing Restaurant,Cha Chaan Teng,4.9,294,hong kong,"G/F, 2 Cheong Ming Street, Happy Valley,",Happy Valley
w0zu,Sing Hing Restaurant,Hong Kong,4.0,1335,hong kong,"G/F, 49-51 Woosung Street, Yau Ma Tei,",Yau Ma Tei
v6yw,The Farm (Kennedy Town),Hong Kong,4.9,1052,hong kong,"Shop C, G/F, 47 Hau Wo Street, Kennedy Town,",Kennedy Town
ioxj,Hungry Eye Restaurant & Bar,Indian,4.9,47,hong kong,"3/F, Gofuku Tower, 62-64 Woosung Street, Yau Ma Tei,",Yau Ma Tei
l7hy,Two Fat,Vietnamese,4.4,57,hong kong,"Shop 13, G/F, Cooked Food Centre, Yue Kwong Road Market, 45 Yue Kwong Road, Aberdeen,",Aberdeen
vx1g,Habibi (Jordan),Middle Eastern,4.6,14,hong kong,"Shop 7, G/F, Honour House, 375-381 Nathan Road, Yau Ma Tei,",Yau Ma Tei
h69j,Little Lucie’s (Happy Valley),Western,4.9,37,hong kong,"Shop A, G/F, Jubilee Garden, 18 Sing Woo Road, Happy Valley,",Happy Valley
mdp5,Wan Kwai Chuen,Rice Noodles,4.7,376,hong kong,"G/F, 22 Cheong Lok Street, Yau Ma Tei,",Yau Ma Tei
w8qv,Broccoli Piazza & Pasta,Italian,1.9,38,hong kong,"G/F, 58 Tung Lo Wan Road, Tai Hang,",Tai Hang
w9sx,La Piazza Italiano Bistro,Pizza,2.1,84,hong kong,"G/F, 58 Tung Lo Wan Road, Tai Hang,",Tai Hang
beyr,Smiling Elephant Takeaway,Thai,5.0,483,hong kong,"Shop 5, G/F, Westview Height, 163 Belcher's Street, Kennedy Town,",Kennedy Town
w2mr,Ho Yin Kee Desserts,HK Dessert,4.6,1133,hong kong,"Shop 4, G/F, The Hudson, 11 Davis Street, Kennedy Town,",Kennedy Town
xwrw,Wang Shing Roast Goose Restaurant,Siu Mei,4.8,401,hong kong,"G/F, Kennedy Mansion, 171 Belcher's Street, Kennedy Town,",Kennedy Town
f2ho,Delight Congee,Congee,5.0,164,hong kong,"Shop A, G/F, Luen Yau Apartments, 102-114 Belcher's Street, Kennedy Town,",Kennedy Town
x3ue,Takichi,Japanese,4.6,60,hong kong,"Shop B, G/F, Shun Cheong Building, 28 Hau Wo Street, Kennedy Town,",Kennedy Town
x3dt,Qing Dynasty Chicken Pot,Sichuan,4.8,587,hong kong,"G/F, Sai Wan New Apartments, 185 Belcher's Street, Kennedy Town,",Kennedy Town
s3wl,Tai Hang Bar & Grill,Western,4.9,1444,hong kong,"G/F, 38 Tung Lo Wan Road, Tai Hang,",Tai Hang
v7ek,Manakamana Nepali Restaurant,Asian,4.6,504,hong kong,"No.107 Temple Street, Jordan,",Jordan
i8ew,San Sui Beef Brisket,Hong Kong,4.5,24,hong kong,"Shop I & J, G/F, Backingham Building, 317-321 Nathan Road, Jordan,",Jordan
v7ux,Yeung Kee Spicy Fish (Jordan),Sauerkraut fish,5.0,854,hong kong,"G/F, 10-12 CHEONG LOK STREET, JORDAN,",Jordan
n7ef,Tandoori Fine Indian Cuisine (Tung Lo Wan Road),Indian,4.5,220,hong kong,"G/F, 58 Tung Lo Wan Road, Tai Hang,",Tai Hang
v9hw,Marco's Oyster Bar & Grill (Jordan),Italian,4.0,206,hong kong,"1/F, Travelodge Kowloon, 23 Saigon Street, Jordan,",Jordan
cu5l,Sun Hup Shing Siu Mei,Siu Mei,4.9,59,hong kong,"Shop B1 and B2, G/F, Cha Hing House, 587-589 Canton Road, Yau Ma Tei,",Yau Ma Tei
l1od,Triomphe Club,Dim Sum ,4.5,26,hong kong,"1/F, Man Hing Building, 6-12 Cheong Lok Street, Jordan,",Jordan
a3bs,Tin Yin Noodles,Cart Noodles,4.9,387,hong kong,"Shop 3, Cooked Food Centre, 5/F, Yue Kwong Road Market, 18 Aberdeen Reservoir Road, Aberdeen,",Aberdeen
xz1f,Lazeez Pizza (Yau Ma Tei),Pizza,4.5,151,hong kong,"Shop 7A, G/F, Honour House, 375-381 Nathan Road, Yau Ma Tei,",Yau Ma Tei
zdb9,Chiu Shun Kee Restaurant,Cha Chaan Teng,4.8,193,hong kong,"Shop 1-2, G/F, Han Yu Building, 45-55 Cadogan Street, Kennedy Town,",Kennedy Town
yx37,Ikkan Sushi,Sushi,5.0,550,hong kong,"Shop 2, G/F, Wai Yip Building, 88 Wai Ching Street, Jordan,",Jordan
jfz7,Sweet Belle (North Point),HK Dessert,4.3,32,hong kong,"Shop 24B, 2/F, Fu Lee Loy Mansion, 9-27 King Wah Road, North Point,",North Point
v0bg,Taj Mahal Restaurant,Indian,4.6,107,hong kong,"101 Electric Rd, Causeway Bay, Hong Kong,",Causeway Bay
w2st,Come Back,International,4.9,379,hong kong,"Room A, 23/F, Block 1, Kingley Industrial Building, 33-35 Yip Kan Street, Wong Chuk Hang,",Wong Chuk Hang
sacn,Dough Bros - Pizza & Doughnuts (Tai Hang),Pizza,4.9,745,hong kong,"Shop G, G/F, Ming Sun Building, 90 Tung Lo Wan Road, Tai Hang,",Tai Hang
x5fd,Mak Siu Kee Traditional Wonton Noodle (Tin Hau),Hong Kong,4.7,466,hong kong,"G/F, Southward Mansion, 3C Lau Li Street, Tin Hau, Causeway Bay,",Tin Hau
auyd,Home Soup Home (North Point),Soups,4.4,140,hong kong,"Shop 24B, 2/F, Fu Lee Loy Mansion, 9-27 King Wah Road, Fortress Hill,",Fortress Hill
fomj,Onion Hub,Kebab,4.4,72,hong kong,"Shop A4, G/F, 96 Electric Road, Tin Hau,",Tin Hau
v0rb,Shahnai Indian Restaurant,Indian,2.1,59,hong kong,"101 Electric Rd, Causeway Bay, Hong Kong,",Causeway Bay
v1cs,GU MA MA,Dumpling,4.7,245,hong kong,"G/F, 14 Ormsby Street, Tai Hang,",Tai Hang
w57d,Tin Hau Dessert,Hong Kong,4.1,220,hong kong,"G/F, 91 Electric Road, Tin Hau, Causeway Bay,",Tin Hau
v0qg,Mamma Mia,Italian,3.3,90,hong kong,"Shop 7, G/F, Lee King Mansion, 83 Electric Road, Tin Hau, Causeway Bay,",Tin Hau
r3ki,Drool Froyo,Western,4.9,11,hong kong,"Shop A1, G/F, 96 Electric Road, North Point,",North Point
v9rv,Beirut Kebab & Curry,Kebab,4.7,370,hong kong,"Shop 7, G/F, Lee King Mansion, 83 Electric Road, Tin Hau, Causeway Bay,",Tin Hau
c8qw,Tandoori Junction (Electric Road),Indian,4.5,216,hong kong,"G/F, 101 Electric Road, Tin Hau, Causeway Bay,",Tin Hau
ylfa,Pak Don Chicken Rice (Tin Hau),Hainan chicken,4.9,253,hong kong,"Shop 5, G/F, Park Aura, 54 Electric Road, Tin Hau,",Tin Hau
s6eq,Saigon Etoile,Vietnamese,4.7,207,hong kong,"G/F, 118 Electric Road, Tin Hau, Causeway Bay,",Tin Hau
w2ap,Headquarters,Hong Kong,5.0,939,hong kong,"Shop 3B, G/F, Ka Wo Building, 14-22 Ka Wo Street, Aberdeen,",Aberdeen
ky98,Ita Meshi,Japanese,3.0,1,hong kong,"G/F, Ernest Court, 4 Lau Li Street, Tin Hau,",Tin Hau
