"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"v2yn","Panda & Son","Italian","4.4","(46)","Hong Kong"
"s9ja","Tallore","Western","4.8","(1000+)","Hong Kong"
"w2vz","Mr. Crab by The Captain's House","Western","3.8","(75)","Hong Kong"
"s8tk","Fook Yuen Chuen Heung Kok","Sichuan","4.7","(100+)","Hong Kong"
"v1hs","Boston Restaurant","Hong Kong","4.3","(100+)","Hong Kong"
"mr5p","Portuguese Avo by La Maison","Western","3.8","(2)","Hong Kong"
"w7aa","Cafe y Taberna","Southeast Asian","4.5","(66)","Hong Kong"
"ik59","Cappadocia Turkish Kebab","Kebab","3.3","(28)","Hong Kong"
"fu40","Ebeneezer's Express (Wanchai)","Kebab","4.5","(500+)","Hong Kong"
"n546","Denmark Cafe","Cha Chaan Teng","4.3","(100+)","Hong Kong"
"t1lx","WOW Pizza (Wan Chai)","Pizza","4.4","(12)","Hong Kong"
"icgy","Delhi 6 Restaurant And Bar","Indian","2.7","(3)","Hong Kong"
"s2xc","Sichuan Paradise","Sichuan","4.6","(100+)","Hong Kong"
"bq33","Lang's Cafe (Wan Chai)","Dim Sum ","4.2","(100+)","Hong Kong"
"t0x2","Tandoori Bites","Middle Eastern","4.7","(81)","Hong Kong"
"g1pq","Thai Flavour","Thai","4.2","(14)","Hong Kong"
"loz1","Wing Wah AllDay (Lee Tung Avenue)","Hong Kong","4","(100+)","Hong Kong"
"r0v5","Snake Soup Sun","Hong Kong","4.1","(100+)","Hong Kong"
"oy8s","Jungle Cafe","Cha Chaan Teng","3.8","(100+)","Hong Kong"
"x6kq","Shanghai 369 Restaurant","Shanghainese","4.4","(1000+)","Hong Kong"
"f7kq","Café Bazaar","Malaysian","2.9","(46)","Hong Kong"
"v8iv","Ping Kee Restaurant","Chinese","4.7","(100+)","Hong Kong"
"uhqf","Souptopia","Western","4.7","(46)","Hong Kong"
"qlzt","Florist Village (Wan Chai)","Chinese","4.6","(3)","Hong Kong"
"w6vk","ULURU","Western","4.8","(100+)","Hong Kong"
"emu4","Chatpoint  (Wan Chai)","Taiwanese","4.8","(100+)","Hong Kong"
"reg2","Lung Kee","Asian","4.7","(100+)","Hong Kong"
"d38l","Lung Fung Cafe (Des Voeux Road West)","Cha Chaan Teng","4.6","(95)","Hong Kong"
"oghi","Cafe Italia by Lung Fung (Sheung Wan)","Hong Kong","4.7","(23)","Hong Kong"
"x8qj","Ichitora (Wan Chai)","Ramen","4.8","(96)","Hong Kong"
"zt3o","Spicy Baby","Sichuan","3.7","(13)","Hong Kong"
"urx4","Juewei (Johnston Road)","Chinese","5","(12)","Hong Kong"
"s1cl","The Oyster House","Western","4.2","(72)","Hong Kong"
"axsu","Shang Ching (Lee Tung)","Taiwanese","4.6","(500+)","Hong Kong"
"lo07","Goyaki Japanese Restaurant (Sheung Wan)","Japanese","4.5","(60)","Hong Kong"
"slxk","Lok Sang Tong (Wanchai)","Hong Kong","4.7","(30)","Hong Kong"
"uqa0","Curry Mama","Curry","3","(12)","Hong Kong"
"ing1","Cafe Hennessy (Lockhart Road)","Cha Chaan Teng","4.4","(100+)","Hong Kong"
"nx46","Mix Taste","Hong Kong","4.3","(3)","Hong Kong"
"s5ma","Jack's Pizzeria","Pizza","4.3","(2000+)","Hong Kong"
"w2wq","Shing Kee Ra-men Dumpling","Chinese","4.5","(100+)","Hong Kong"
"v7te","Xiangshu Restaurant (Wan Chai)","Chinese","3.8","(100+)","Hong Kong"
"s8hs","Hikawa (Wan Chai)","Japanese","3.5","(100+)","Hong Kong"
"v2nb","Kam Dau Kee Seafood Restaurant","Cantonese","4.4","(100+)","Hong Kong"
"s9by","An Nam Pho (Wan Chai)","Pho","4.5","(1000+)","Hong Kong"
"tszs","Greenland Taiwanese Cuisine","Taiwanese","4.2","(52)","Hong Kong"
"lhfg","Jack's Pizza Corner","Pizza","4.4","(55)","Hong Kong"
"s4dg","Al Dente (Harbour Road)","Italian","4.2","(100+)","Hong Kong"
"n3s4","135 Garden Chicken","Chinese","4.3","(100+)","Hong Kong"
"dgja","Leung Yau Fast Food (Wan Chai)","Hong Kong","4.5","(100+)","Hong Kong"
"w8xx","A One - Pork Chop Spicy Rice Noodles (Sai Ying Pun)","Chinese","4.5","(1000+)","Hong Kong"
"s9dm","Salute","Italian","4.4","(100+)","Hong Kong"
"nsmq","Shaka (Sai Ying Pun)","Japanese","4","(70)","Hong Kong"
"wb77","Pete's Pizza","Western","3.1","(41)","Hong Kong"
"w8nu","Wa Sho Ku","Japanese","4.4","(500+)","Hong Kong"
"s8ty","Pete's Place","Western","4.2","(100+)","Hong Kong"
"yzx0","Maki Roll Boat","Sushi","3.5","(8)","Hong Kong"
"x0ws","Burger Joys (Sai Ying Pun)","Burgers","4.4","(1000+)","Hong Kong"
"f80i","Pho Vi","Pho","4.2","(100+)","Hong Kong"
"v8dt","Hunan Cuisine","Chinese","4.6","(100+)","Hong Kong"
"w0tk","Honolulu Cafe (Wan Chai)","Cha Chaan Teng","4.2","(100+)","Hong Kong"
"i5a1","Iwakawa - Donburi Specialist","Rice Bowl","4.1","(64)","Hong Kong"
"l2sl","Two Ediots","American","4.6","(100+)","Hong Kong"
"s9ec","La Roma pizzeria","Italian","3.5","(100+)","Hong Kong"
"mexe","CoCo Tree Thai Restaurant","Thai","4.3","(100+)","Hong Kong"
"v0jp","Yeung Ming Restaurant","Siu Mei","4","(86)","Hong Kong"
"v5xz","HN Spicy Hot Restaurant","Chinese","4.4","(100+)","Hong Kong"
"qpxf","Iwakawa","Japanese","4.1","(100+)","Hong Kong"
"w4ar","Sweeties' Dessert","HK Dessert","4.5","(500+)","Hong Kong"
"v2oa","Sun Fung Kee (Wan Chai)","Cha Chaan Teng","4.2","(1000+)","Hong Kong"
"y6gw","Mid-Levels Canteen","Hong Kong","4.3","(1000+)","Hong Kong"
"v9nx","Sammy'S Kitchen","Western","4.4","(100+)","Hong Kong"
"qkvd","The Bottle & Steak","Western","4.3","(100+)","Hong Kong"
"w9aj","Bingaz Street Food","International","4.3","(500+)","Hong Kong"
"qgat","Tam Viet","Vietnamese","4.5","(100+)","Hong Kong"
"s5wj","Krua Walaiphan","Thai","4.6","(1000+)","Hong Kong"
"zi5d","AOM","International","4.7","(2)","Hong Kong"
"v9lf","Purple King Combo","Chinese","4.5","(57)","Hong Kong"
"wde4","Kome Kushi (Western District)","Japanese","5","(6)","Hong Kong"
"v5je","Why Noodle","Chinese","4.3","(500+)","Hong Kong"
"v7ha","Hainan (First Street)","Hainan chicken","4.6","(500+)","Hong Kong"
