"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"dgja","Leung Yau Fast Food (Wan Chai)","Hong Kong",4.8,408,"hong kong","Shop C, G/F, Kam Sing Mansion, 157 Jaffe Road, Wan Chai,"
"v8oy","Stone Coffee (Sai Ying Pun)","Coffee",5.0,556,"hong kong","G/F, 56 Centre Street, Fook Moon Building, Sai Ying Pun,"
"wb77","Pete's Pizza","Western",4.6,43,"hong kong","Shop A, G/F, 23 High Street, Sai Ying Pun,"
"rcpj","Meng Gok Roast Goose","Siu Mei",5.0,57,"hong kong","Shop 3, G/F, Tak Lee Building, 270-280 Queen's Road West, Sai Ying Pun,"
"wnh9","Connie's Delicious Sandwiches","Hong Kong",4.5,101,"hong kong","Shop E, G/F, Tung Kai Building, 158-172 Jaffe Road, Wan Chai,"
"bwnh","Yung Por Por Food","Hong Kong",0.0,0,"hong kong","Shop B, G/F, Lucky Commercial Centre, 103 Des Voeux Road West, Sai Ying Pun,"
"gggz","Bangkok Corner [Extended Delivery]","Thai",0.0,0,"hong kong","Kitchen 23, Freshlane, 2/F, Lucky Commercial Centre, 103 Des Voeux Road West, Sheung Wan,"
"g1w9","Tai · Odeon Cafe","Taiwanese",4.9,51,"hong kong","Shop 1 & 2, G/F, Tai Tung Building, 8 Fleming Road, Wan Chai,"
"bqje","Hallooo Restaurant","Western",0.0,0,"hong kong","Shop 6, G/F, Comfort Court, 52 Third Street, Sai Ying Pun, Western District,"
"w0tk","Honolulu Cafe (Wan Chai)","Cha Chaan Teng",4.8,438,"hong kong","G/F, Luen Sen Building, 176-178 Hennessy Road, Wan Chai,"
"i5a1","Iwakawa - Donburi Specialist","Rice Bowl",4.6,135,"hong kong","G/F, 220 Queen's Road West, Sai Ying Pun,"
"d38l","Lung Fung Cafe (Des Voeux Road West)","Cha Chaan Teng",4.9,123,"hong kong","2/F, Lucky Commercial Centre, 103 Des Voeux Road West, Sheung Wan,"
"v5xz","HN Spicy Hot Restaurant","Chinese",4.9,274,"hong kong","3/F, Eco Tree Hotel, 160 Des Voeux Road West, Sai Ying Pun,"
"lo07","Goyaki Japanese Restaurant (Sheung Wan)","Japanese",4.8,74,"hong kong","2/F, Lucky Commercial Centre, 103 Des Voeux Road West, Sheung Wan,"
"qgat","Tam Viet","Vietnamese",4.9,224,"hong kong","Shop D1, G/F, Kam Sing Mansion, 151-161 Jaffe Road, Wan Chai,"
"y32b","Red Elephant Coffee (Sheung Wan) [Extended Delivery]","Western",0.0,0,"hong kong","Kitchen 26, 2/F, Lucky Commercial Centre, 103-109 Des Voeux Road West, Sheung Wan,"
"v9lf","Purple King Combo","Chinese",4.0,58,"hong kong","Cooked Food Market, 1/F, Centre Street Market, 44 Centre Street, Sai Ying Pun,"
"w2l6","KEBUKE","Bubble Tea",4.9,14,"hong kong","Shop OT G49, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui,"
"hlii","Always Gathering (Sai Ying Pun)","Cha Chaan Teng",5.0,450,"hong kong","Shop C & D, G/F, Kaiser Centre, 18 Centre Street, Sai Ying Pun,"
"ryw1","Seolhamyeok","Korean",0.0,0,"hong kong","Shop OTG47-48, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui,"
"n8ih","Oriental Vegetarian","Hong Kong",4.8,322,"hong kong","3/F, 239 Hennessy Road, Wan Chai,"
"x4kz","Sun Tak Hing Restaurant","Cha Chaan Teng",4.9,1005,"hong kong","Shop B-C, G/F, Wanchai Commercial Centre, 194-204 Johnston Road, Wan Chai,"
"v3gu","Friendly Corner","Hong Kong",4.9,1416,"hong kong","G/F, 306 Queen's Road West, Sai Ying Pun,"
"fwtt","Around the World","Japanese",0.0,0,"hong kong","Shop 13, G/F, Pao Woo Mansion, 51 Cross Lane, Wan Chai,"
"cbcp","Som Tum Thai","Thai",4.9,355,"hong kong","Shop 7-11, G/F, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai,"
"vqqj","Birria Y Birria","Mexican",4.9,24,"hong kong","Shop H, UG/F, Hang Hing Court, 123-125 Third Street, Sai Ying Pun,"
"avb5","Hanamiyama Sushi","Sushi",4.9,370,"hong kong","Shop 1, G/F, Shun Tai Building, 129 First Street, Sai Ying Pun,"
"q5ay","Bao Dim Gui Yan (Sai Ying Pun)","Hong Kong",4.9,394,"hong kong","G/F, 230 Des Voeux Road West, Sai Ying Pun,"
"sphd","Oliver's Super Sandwiches (Sun Hung Kai Centre)","Western",4.7,113,"hong kong","Shops 118-119 & 123-125, 1/F, Sun Hung Kai Centre, 30 Harbour Road, Wan Chai,"
"s3xp","Umai SushiKan","Japanese",3.8,29,"hong kong","SHOP OTG04, G/F, OCEAN TERMINAL, HARBOUR CITY, 3-27 CANTON ROAD, TSIM SHA TSUI,"
