StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Admin_District
w5cx,Ippudo HK (Admiralty),Ramen,4.8,738,hong kong,"Shop F04-F06, 1/F, Queensway Plaza, 93 Queensway, Admiralty,",Admiralty,Central and Western District
v3sg,Yao Sushi Takeaway,Japanese,5.0,1070,hong kong,"Shop 2A, LG/F, Floral Tower, 1-9 Mosque Street, Mid-Levels,",Mid-Levels,Central and Western District
p6sk,Al Dente (Staunton Street),Italian,4.8,323,hong kong,"G/F, 16 Staunton Street, Central,",Central,Central and Western District
dp7j,obp,Korean,4.6,27,hong kong,"LG/F, Hollywood Commercial House, 3-5 Old Bailey Street, Central,",Central,Central and Western District
v7rs,Kiu Heung Yun Nan Rice Noodles (Central),Chinese,4.9,2367,hong kong,"G/F, 91 Wellington Street, Central,",Central,Central and Western District
w6ei,House of Avocado,Western,4.9,154,hong kong,"G/F, Chui Man House, 7 Staunton Street, Central,",Central,Central and Western District
i670,Pulau (Central),Singaporean,4.8,755,hong kong,"Shop G19, G/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
s9gd,Café bar on 8,International,4.9,62,hong kong,"8/F, St. John Tower, 2 Macdonnell Road, Mid-Levels,",Mid-Levels,Central and Western District
v0uj,"Uncle Pizza, Pasta & Grill",Western,4.5,192,hong kong,"G/F, 25 Elgin Street, Central,",Central,Central and Western District
ex58,Pho Nho (Central),Pho,4.7,85,hong kong,"Shop G16, G/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
a37u,Uoya Zen [Extended Delivery],Japanese,5.0,56,hong kong,"Portion B of G/F, 108-110 Wellington Street, Central,",Central,Central and Western District
s3ku,Nepal Nepalese Cuisine,Asian,2.8,142,hong kong,"G/F, 14 Staunton Street, Central,",Central,Central and Western District
uc5x,Lau Bistro,Western,5.0,190,hong kong,"G/F, 46 Gage Street, Central,",Central,Central and Western District
yg36,Cafe Another (Des Voeux Road Central) [Extended Delivery],Japanese,4.9,57,hong kong,"G/F, Far East Consortium Building, 115 Des Voeux Road Central, Central,",Central,Central and Western District
yb19,La Camionetta,Pizza,4.9,1058,hong kong,"Shop A, Wai Yuen Building, 12 Elgin Street, Central,",Central,Central and Western District
v2tt,Shiki Etsu Japanese Restaurant (Central),Japanese,4.5,267,hong kong,"UG,Far East Finance Centre, 16 Harcourt Road, Admiralty,",Admiralty,Central and Western District
s7vy,GURU Indian Restaurant,Indian,4.7,534,hong kong,"G/F, Tai Lee Building, 17 Elgin Street, Central,",Central,Central and Western District
s6tr,Bouchon Bistro Francais,French,4.9,198,hong kong,"G/F, 49 Elgin Street, Central,",Central,Central and Western District
w2hp,Wingman (Central),Western,4.9,1121,hong kong,"6/F, Cheung Hing Commercial Building, 37-43 Cochrane Street, Central,",Central,Central and Western District
s3np,La'taste Vietnamese Cuisine (Admiralty),Vietnamese,4.7,789,hong kong,"Shop C2, G/F, Far East Finance Centre, 16 Harcourt Road, Admiralty,",Admiralty,Central and Western District
ka90,Infinitea (Central),Bubble Tea,4.9,174,hong kong,"G/F, 20 Gilman's Bazaar, Central,",Central,Central and Western District
v0gv,Viet Tasty,Vietnamese,4.7,478,hong kong,"Shop 1, G/F, Dragon Court, 28 Caine Road, Mid-Levels,",Mid-Levels,Central and Western District
wt0i,Lin Heung Tea,Lemon Tea,4.9,10,hong kong,"G/F & 1/F, Tsang Chiu Ho Building, 160-164 Wellington Street, Central,",Central,Central and Western District
